System	nDCG'10	p@5	p@10
Approach0+DPRL	0.7459	0.7421	0.6724
Approach0+SSEmb	0.7837	0.8026	0.7158
Baseline-task2-TangentS-auto-math-p	0.5765	0.5579	0.5105
DPRL+SSEmb	0.7197	0.7447	0.6434
DPRL-Task2-CFTED-auto-math-P	0.6868	0.7026	0.6105
JU_NITS+SSEmb	0.4369	0.4237	0.3711
JU_NITS-task2-formulaL-auto-formula-P	0.1648	0.1395	0.1250
MathDowsers+SSEmb	0.6983	0.7237	0.6434
MathDowsers-task2-latex_L8_a040-auto-math-A	0.6081	0.6289	0.5487
SSEmb	0.7343	0.7632	0.6803
Tangent-S+SSEmb	0.7011	0.7079	0.6434
XYPhoc+SSEmb	0.7008	0.7000	0.6500
XYPhoc-task2-xy7o4-auto-math-a-2022	0.6382	0.6316	0.5632
approach0-task2-fusion_alpha05-manual-both-P	0.7511	0.7632	0.6882
SSEmb_wocontext	0.6762	0.6974	0.6211
DPRL-Task2-CFT-auto-math-A	0.6211	0.6289	0.5342
SSEmb_a	0.5898	0.6329	0.5068
SSEmb_a_n_e	0.6298	0.6421	0.5658
SSEmb_s	0.6744	0.6974	0.6013
